   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
     5.662    1.77  1.63  1.4  82.   80.   58.    0.6   0.29  0.12
     5.689    1.76  1.64  1.4  82.   80.   56.    0.6   0.3   0.16
     5.692    1.77  1.64  1.42 82.   80.   58.    0.6   0.29  0.16
     5.696    1.76  1.64  1.42 82.   80.   56.    0.6   0.3   0.16
     5.704    1.76  1.62  1.38 82.   80.   56.    0.6   0.29  0.16
     5.745    1.76  1.62  1.4  82.   80.   58.    0.6   0.28  0.16
     5.761    1.76  1.62  1.4  82.   80.   56.    0.6   0.29  0.16
     5.767    1.77  1.64  1.42 82.   80.   56.    0.6   0.28  0.16
     5.785    1.77  1.62  1.42 82.   80.   58.    0.6   0.3   0.12
     5.819    1.77  1.64  1.38 82.   80.   56.    0.6   0.3   0.16
     5.834    1.77  1.63  1.4  82.   80.   58.    0.6   0.28  0.16
     5.845    1.78  1.63  1.38 82.   80.   56.    0.6   0.29  0.16
     5.853    1.77  1.64  1.42 82.   80.   56.    0.6   0.3   0.16
     5.869    1.78  1.64  1.38 82.   80.   58.    0.6   0.29  0.14
     5.872    1.77  1.64  1.4  82.   80.   56.    0.6   0.3   0.16
     5.873    1.77  1.63  1.4  82.   80.   56.    0.6   0.28  0.16
     5.881    1.76  1.63  1.38 82.   80.   56.    0.6   0.3   0.16
     5.883    1.76  1.63  1.4  82.   80.   58.    0.6   0.3   0.12
     5.885    1.77  1.63  1.42 82.   80.   58.    0.6   0.3   0.12
     5.893    1.76  1.62  1.42 82.   80.   56.    0.6   0.29  0.16
     5.903    1.77  1.62  1.38 82.   80.   56.    0.6   0.29  0.16
     5.906    1.78  1.63  1.42 82.   80.   56.    0.6   0.29  0.16
     5.917    1.77  1.64  1.38 82.   80.   56.    0.6   0.3   0.14
     5.922    1.76  1.63  1.4  82.   80.   56.    0.6   0.3   0.16
     5.929    1.78  1.62  1.38 82.   80.   56.    0.6   0.28  0.14
     5.945    1.78  1.63  1.4  82.   80.   56.    0.6   0.29  0.16
     5.966    1.77  1.62  1.4  82.   80.   56.    0.6   0.29  0.16
     5.973    1.76  1.64  1.38 82.   80.   58.    0.6   0.28  0.14
     5.974    1.78  1.63  1.38 82.   80.   56.    0.6   0.28  0.16
     5.975    1.77  1.62  1.42 82.   80.   58.    0.6   0.28  0.16
     5.979    1.76  1.63  1.4  82.   80.   56.    0.6   0.28  0.16
     5.994    1.76  1.64  1.38 82.   80.   56.    0.6   0.29  0.16
     5.997    1.76  1.63  1.38 82.   80.   58.    0.6   0.29  0.12
     6.054    1.76  1.63  1.42 82.   80.   56.    0.6   0.3   0.16
     6.066    1.77  1.62  1.42 82.   80.   56.    0.6   0.29  0.16
     6.074    1.76  1.63  1.38 82.   80.   58.    0.6   0.28  0.16
     6.075    1.78  1.63  1.38 82.   80.   56.    0.6   0.29  0.14
     6.097    1.78  1.62  1.38 82.   80.   58.    0.6   0.28  0.14
     6.133    1.78  1.63  1.42 82.   80.   58.    0.6   0.28  0.16
     6.155    1.76  1.62  1.4  82.   80.   56.    0.6   0.3   0.16
     6.182    1.78  1.64  1.38 82.   80.   56.    0.6   0.3   0.14
     6.211    1.76  1.62  1.38 82.   80.   56.    0.6   0.28  0.16
     6.215    1.77  1.63  1.4  82.   80.   56.    0.6   0.3   0.16
     6.239    1.78  1.64  1.4  82.   80.   58.    0.6   0.28  0.16
     6.240    1.78  1.64  1.4  82.   80.   56.    0.6   0.3   0.16
     6.275    1.78  1.64  1.42 82.   80.   56.    0.6   0.3   0.16
     6.315    1.77  1.63  1.42 82.   80.   56.    0.6   0.3   0.16
     6.319    1.78  1.62  1.4  82.   80.   56.    0.6   0.29  0.16
     6.343    1.78  1.63  1.4  82.   80.   56.    0.6   0.28  0.16
     6.363    1.77  1.64  1.42 82.   80.   58.    0.6   0.3   0.12
     6.365    1.77  1.62  1.38 82.   80.   56.    0.6   0.29  0.14
     6.405    1.76  1.64  1.4  82.   80.   56.    0.6   0.29  0.16
     6.409    1.77  1.62  1.42 82.   80.   58.    0.6   0.29  0.12
     6.418    1.77  1.63  1.42 82.   80.   56.    0.6   0.28  0.16
     6.438    1.78  1.62  1.42 82.   80.   56.    0.6   0.29  0.16
     6.454    1.78  1.62  1.42 82.   80.   58.    0.6   0.28  0.12
     6.474    1.76  1.64  1.4  82.   80.   58.    0.6   0.3   0.12
     6.497    1.78  1.63  1.4  82.   80.   58.    0.6   0.28  0.12
     6.499    1.76  1.62  1.4  82.   80.   58.    0.6   0.29  0.12
     6.550    1.77  1.64  1.38 82.   80.   58.    0.6   0.28  0.16
     6.602    1.76  1.64  1.42 82.   80.   56.    0.6   0.28  0.16
     6.612    1.78  1.64  1.42 82.   80.   58.    0.6   0.29  0.12
     6.638    1.78  1.63  1.42 82.   80.   56.    0.6   0.28  0.16
     6.654    1.78  1.62  1.38 82.   80.   56.    0.6   0.29  0.14
     6.666    1.78  1.64  1.38 82.   80.   56.    0.6   0.3   0.16
     6.678    1.77  1.64  1.4  82.   80.   56.    0.6   0.29  0.16
     6.679    1.76  1.62  1.38 82.   80.   56.    0.6   0.29  0.14
     6.679    1.77  1.63  1.38 82.   80.   56.    0.6   0.3   0.16
     6.681    1.76  1.62  1.42 82.   80.   56.    0.6   0.3   0.16
     6.688    1.78  1.63  1.38 82.   80.   56.    0.6   0.3   0.16
     6.690    1.78  1.62  1.38 82.   80.   56.    0.6   0.29  0.16
     6.698    1.76  1.62  1.38 82.   80.   56.    0.6   0.3   0.16
     6.723    1.76  1.62  1.4  82.   80.   56.    0.6   0.28  0.16
     6.732    1.77  1.64  1.42 82.   80.   58.    0.6   0.28  0.14
     6.745    1.77  1.62  1.4  82.   80.   58.    0.6   0.28  0.12
     6.766    1.76  1.63  1.42 82.   80.   58.    0.6   0.28  0.14
     6.788    1.78  1.64  1.4  82.   80.   56.    0.6   0.3   0.14
     6.852    1.76  1.63  1.42 82.   80.   56.    0.6   0.28  0.16
     6.870    1.77  1.63  1.38 82.   80.   58.    0.6   0.28  0.12
     6.889    1.78  1.64  1.38 82.   80.   58.    0.6   0.28  0.12
