   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
    29.250    1.7  1.5  1.6 80.  80.  60.   0.5  0.2  0.3
    29.408    1.7   1.6   1.5  80.   80.   60.    0.5   0.25  0.25
    29.414    1.7   1.4   1.5  80.   85.   65.    0.5   0.15  0.25
    29.558    1.7   1.6   1.5  75.   80.   65.    0.5   0.3   0.25
    29.691    1.7   1.6   1.5  75.   80.   65.    0.5   0.35  0.3 
    29.883    1.7   1.6   1.6  85.   85.   60.    0.5   0.25  0.3 
    30.088    1.7   1.5   1.6  85.   85.   60.    0.5   0.2   0.25
    30.349    1.65  1.6   1.6  75.   80.   65.    0.5   0.25  0.35
    30.394    1.65  1.6   1.6  75.   80.   65.    0.5   0.35  0.35
    30.460    1.7   1.5   1.5  75.   80.   65.    0.5   0.25  0.25
    30.477    1.7   1.5   1.6  80.   75.   55.    0.5   0.25  0.25
    30.552    1.7   1.6   1.5  75.   80.   65.    0.5   0.25  0.25
    30.626    1.7   1.6   1.6  75.   75.   65.    0.5   0.25  0.15
    30.712    1.7  1.5  1.6 80.  85.  65.   0.5  0.2  0.3
    30.926    1.7  1.5  1.5 80.  80.  60.   0.5  0.3  0.2
    31.082    1.7   1.5   1.6  75.   80.   65.    0.5   0.25  0.2 
    31.113    1.7   1.5   1.6  75.   80.   65.    0.5   0.3   0.35
    31.148    1.65  1.5   1.5  80.   75.   55.    0.5   0.25  0.2 
    31.179    1.65  1.6   1.6  80.   80.   60.    0.5   0.3   0.25
    31.436    1.7   1.6   1.4  75.   80.   65.    0.5   0.3   0.35
    31.458    1.7   1.6   1.6  80.   85.   65.    0.5   0.25  0.3 
    31.487    1.7   1.4   1.6  80.   80.   60.    0.5   0.2   0.25
    31.673    1.7   1.6   1.5  80.   75.   55.    0.5   0.3   0.25
    31.675    1.7   1.6   1.6  85.   80.   55.    0.5   0.25  0.15
    31.801    1.7   1.4   1.6  80.   80.   60.    0.5   0.15  0.2 
    31.820    1.7   1.5   1.5  80.   75.   55.    0.5   0.2   0.15
    32.000    1.65  1.6   1.5  75.   75.   65.    0.5   0.25  0.15
    32.022    1.7   1.6   1.5  75.   80.   65.    0.5   0.35  0.2 
    32.660    1.7   1.6   1.5  80.   80.   60.    0.5   0.3   0.15
    32.726    1.7   1.4   1.6  80.   85.   65.    0.5   0.15  0.35
    32.790    1.65  1.6   1.6  75.   80.   65.    0.5   0.3   0.2 
    32.907    1.7  1.6  1.6 80.  75.  55.   0.5  0.3  0.3
    32.980    1.7  1.6  1.6 75.  75.  60.   0.5  0.3  0.2
    33.107    1.65  1.6   1.6  80.   85.   65.    0.5   0.25  0.3 
    33.171    1.65  1.6   1.6  80.   80.   60.    0.5   0.25  0.2 
    33.403    1.7   1.6   1.5  80.   75.   55.    0.5   0.3   0.15
    33.533    1.7   1.4   1.6  80.   80.   60.    0.5   0.25  0.3 
    33.573    1.6   1.5   1.6  75.   80.   65.    0.5   0.25  0.3 
    33.699    1.7   1.4   1.6  75.   80.   65.    0.5   0.15  0.3 
    33.823    1.7   1.4   1.5  75.   80.   65.    0.5   0.15  0.25
    33.845    1.65  1.5   1.6  80.   85.   65.    0.5   0.2   0.3 
    33.890    1.7   1.5   1.5  75.   80.   65.    0.5   0.2   0.15
    33.896    1.7   1.4   1.6  85.   85.   60.    0.5   0.15  0.2 
    34.142    1.65  1.6   1.4  80.   75.   55.    0.5   0.25  0.15
    34.401    1.7   1.5   1.6  80.   80.   60.    0.5   0.2   0.25
    34.441    1.7   1.6   1.4  80.   75.   55.    0.5   0.3   0.15
    34.650    1.7   1.6   1.4  85.   85.   60.    0.5   0.35  0.25
    34.746    1.65  1.6   1.5  80.   80.   60.    0.5   0.3   0.2 
    34.774    1.7   1.6   1.6  75.   80.   65.    0.5   0.25  0.3 
    34.781    1.7  1.4  1.5 80.  80.  60.   0.5  0.2  0.2
    34.865    1.6   1.5   1.5  80.   75.   55.    0.5   0.25  0.2 
    34.907    1.7   1.6   1.4  80.   80.   60.    0.5   0.3   0.25
    34.960    1.7   1.6   1.4  75.   80.   65.    0.5   0.35  0.15
    35.093    1.7   1.6   1.5  80.   85.   65.    0.5   0.2   0.25
    35.202    1.7  1.5  1.6 75.  80.  65.   0.5  0.3  0.3
    35.342    1.65  1.5   1.6  75.   80.   65.    0.5   0.25  0.25
    35.506    1.7  1.6  1.6 80.  85.  65.   0.5  0.3  0.3
    35.644    1.65  1.5   1.4  75.   80.   65.    0.5   0.25  0.15
    36.059    1.7  1.5  1.6 85.  80.  55.   0.5  0.2  0.2
    36.072    1.65  1.6   1.4  75.   80.   65.    0.5   0.35  0.2 
    36.091    1.65  1.5   1.4  75.   80.   65.    0.5   0.2   0.2 
    36.277    1.7   1.4   1.4  80.   85.   65.    0.5   0.15  0.2 
    36.387    1.7   1.6   1.5  85.   85.   60.    0.5   0.25  0.25
    36.426    1.65  1.5   1.5  75.   80.   65.    0.5   0.25  0.2 
    36.663    1.7   1.6   1.6  80.   80.   60.    0.5   0.2   0.25
    36.832    1.65  1.5   1.4  80.   80.   60.    0.5   0.2   0.15
    36.837    1.7   1.5   1.5  80.   75.   55.    0.5   0.25  0.2 
    36.847    1.7   1.5   1.4  75.   75.   55.    0.5   0.15  0.15
    36.889    1.7   1.6   1.6  80.   80.   60.    0.5   0.35  0.3 
    36.946    1.7  1.4  1.6 75.  80.  65.   0.5  0.2  0.2
    36.969    1.7   1.5   1.6  80.   85.   65.    0.5   0.15  0.3 
    37.039    1.7   1.6   1.6  80.   80.   60.    0.5   0.3   0.35
    37.142    1.65  1.6   1.6  75.   75.   65.    0.5   0.25  0.2 
    37.201    1.7   1.4   1.6  75.   85.   65.    0.5   0.25  0.25
    37.353    1.7   1.5   1.5  80.   80.   60.    0.5   0.25  0.3 
    37.354    1.7   1.5   1.6  80.   85.   60.    0.5   0.35  0.3 
    37.592    1.7  1.6  1.5 80.  80.  60.   0.5  0.2  0.2
    37.639    1.7   1.6   1.6  80.   85.   65.    0.5   0.25  0.2 
    37.701    1.7   1.6   1.6  75.   80.   65.    0.5   0.35  0.25
    37.709    1.7   1.5   1.5  80.   80.   60.    0.5   0.3   0.25
    37.733    1.7   1.6   1.4  80.   80.   60.    0.5   0.25  0.2 
    37.956    1.65  1.5   1.6  75.   75.   65.    0.5   0.2   0.2 
    38.091    1.65  1.5   1.6  85.   80.   55.    0.5   0.25  0.2 
    38.128    1.7  1.5  1.6 85.  85.  60.   0.5  0.2  0.3
    38.214    1.7   1.4   1.5  80.   80.   60.    0.5   0.15  0.15
    38.310    1.7   1.5   1.5  80.   85.   65.    0.5   0.2   0.25
    38.340    1.65  1.6   1.6  75.   75.   55.    0.5   0.2   0.25
    38.653    1.7   1.5   1.5  75.   80.   65.    0.5   0.25  0.15
    38.724    1.65  1.6   1.6  80.   85.   65.    0.5   0.25  0.25
    38.738    1.7  1.6  1.6 85.  80.  55.   0.5  0.3  0.2
    38.772    1.65  1.5   1.6  80.   80.   60.    0.5   0.35  0.35
    38.795    1.7   1.6   1.6  75.   85.   65.    0.5   0.35  0.2 
    38.970    1.65  1.5   1.6  80.   80.   60.    0.5   0.2   0.3 
    38.995    1.65  1.5   1.5  75.   75.   65.    0.5   0.2   0.15
    39.034    1.7  1.6  1.4 75.  80.  65.   0.5  0.3  0.2
    39.168    1.7   1.4   1.6  80.   75.   55.    0.5   0.15  0.2 
    39.178    1.7   1.6   1.6  85.   85.   60.    0.5   0.2   0.25
    39.308    1.65  1.6   1.4  80.   80.   60.    0.5   0.3   0.15
    39.409    1.7   1.5   1.6  75.   75.   65.    0.5   0.2   0.15
    39.513    1.7   1.5   1.4  75.   80.   65.    0.5   0.2   0.15
    39.622    1.7   1.6   1.6  80.   75.   60.    0.5   0.2   0.15
    39.776    1.65  1.6   1.5  80.   75.   55.    0.5   0.25  0.2 
    39.900    1.7   1.5   1.6  75.   85.   65.    0.5   0.3   0.25
    40.004    1.7   1.5   1.6  80.   85.   65.    0.5   0.2   0.35
    40.203    1.7  1.4  1.6 75.  80.  65.   0.5  0.2  0.3
    40.359    1.7  1.6  1.6 75.  80.  65.   0.5  0.2  0.3
    40.640    1.7   1.5   1.5  85.   80.   55.    0.5   0.25  0.15
    40.657    1.7  1.6  1.4 80.  80.  60.   0.5  0.3  0.3
    40.700    1.65  1.5   1.6  80.   75.   55.    0.5   0.25  0.2 
    40.876    1.7   1.6   1.5  80.   85.   65.    0.5   0.35  0.3 
    40.929    1.7   1.6   1.5  75.   75.   60.    0.5   0.3   0.15
    41.019    1.7  1.6  1.6 75.  75.  60.   0.5  0.2  0.2
    41.091    1.7   1.6   1.6  80.   75.   60.    0.5   0.25  0.15
    41.339    1.7  1.5  1.5 75.  80.  65.   0.5  0.3  0.3
    41.506    1.65  1.6   1.6  80.   75.   55.    0.5   0.25  0.25
    41.637    1.7   1.5   1.6  75.   75.   60.    0.5   0.35  0.3 
    41.681    1.7   1.6   1.4  80.   80.   60.    0.5   0.2   0.15
    41.716    1.65  1.4   1.6  80.   80.   60.    0.5   0.15  0.25
    41.736    1.65  1.5   1.6  80.   80.   60.    0.5   0.25  0.25
    41.818    1.7   1.5   1.5  85.   80.   55.    0.5   0.35  0.2 
    41.854    1.65  1.6   1.6  75.   80.   65.    0.5   0.25  0.25
    42.048    1.7   1.6   1.5  80.   75.   60.    0.5   0.25  0.15
    42.063    1.7   1.4   1.4  80.   85.   65.    0.5   0.15  0.15
    42.137    1.7   1.6   1.5  80.   85.   65.    0.5   0.3   0.25
    42.213    1.7  1.5  1.6 75.  75.  60.   0.5  0.3  0.2
    42.253    1.7   1.6   1.6  75.   80.   65.    0.5   0.25  0.15
    42.381    1.7  1.4  1.5 80.  80.  60.   0.5  0.3  0.3
    42.540    1.7   1.5   1.4  75.   80.   65.    0.5   0.25  0.2 
    42.594    1.7   1.5   1.6  85.   80.   55.    0.5   0.35  0.25
    42.676    1.6   1.5   1.5  75.   80.   65.    0.5   0.25  0.25
    42.835    1.7   1.5   1.5  80.   80.   60.    0.5   0.25  0.35
    42.923    1.7   1.5   1.6  75.   85.   65.    0.5   0.35  0.3 
    43.075    1.6   1.6   1.6  75.   80.   65.    0.5   0.3   0.25
    43.126    1.7  1.6  1.5 85.  85.  60.   0.5  0.2  0.2
    43.326    1.7   1.5   1.6  80.   80.   60.    0.5   0.25  0.35
    43.441    1.6   1.6   1.5  75.   80.   65.    0.5   0.25  0.25
    43.482    1.7   1.5   1.6  80.   80.   60.    0.5   0.25  0.2 
    43.483    1.7  1.5  1.6 80.  85.  65.   0.5  0.2  0.2
    43.673    1.7   1.6   1.6  75.   80.   65.    0.5   0.2   0.15
    43.676    1.7   1.5   1.5  75.   75.   60.    0.5   0.3   0.15
    43.780    1.7  1.5  1.4 80.  85.  65.   0.5  0.2  0.2
    43.873    1.7   1.6   1.6  85.   85.   65.    0.5   0.25  0.25
    43.944    1.7   1.5   1.5  80.   80.   60.    0.5   0.2   0.25
    44.054    1.7   1.6   1.4  80.   80.   60.    0.5   0.35  0.2 
    44.087    1.65  1.6   1.5  80.   85.   65.    0.5   0.25  0.25
    44.087    1.7   1.6   1.4  75.   80.   65.    0.5   0.35  0.25
    44.199    1.7   1.6   1.5  80.   80.   60.    0.5   0.35  0.25
    44.212    1.6   1.6   1.4  80.   75.   55.    0.5   0.3   0.15
    44.426    1.6   1.6   1.6  80.   80.   60.    0.5   0.3   0.25
    44.464    1.7   1.4   1.5  80.   80.   60.    0.5   0.25  0.25
    44.477    1.7  1.5  1.4 80.  80.  60.   0.5  0.3  0.2
    44.480    1.7   1.4   1.4  75.   80.   65.    0.5   0.15  0.2 
    44.527    1.65  1.5   1.5  80.   75.   55.    0.5   0.2   0.2 
    44.616    1.7   1.6   1.4  85.   85.   60.    0.5   0.25  0.2 
    44.697    1.7   1.6   1.6  80.   75.   55.    0.5   0.3   0.15
    44.843    1.65  1.6   1.5  75.   80.   65.    0.5   0.35  0.2 
    44.874    1.65  1.5   1.5  80.   85.   65.    0.5   0.2   0.25
    44.944    1.7   1.5   1.5  80.   80.   60.    0.5   0.3   0.35
    45.112    1.65  1.6   1.5  85.   80.   55.    0.5   0.3   0.15
    45.164    1.7   1.5   1.5  75.   85.   65.    0.5   0.35  0.25
