   Chi^2    ('R1'  'R2'  'R3'  'Theta2'  'Theta3'  'Phi'  'q1'  'q2'  'q3')
     4.418    1.8   1.7   1.65 78.   76.   60.    0.5   0.3   0.15
     4.444    1.75  1.7   1.55 80.   78.   60.    0.5   0.3   0.15
     4.502    1.7   1.65  1.45 80.   80.   60.    0.5   0.3   0.15
     4.530    1.75  1.7   1.45 80.   76.   60.    0.5   0.3   0.15
     4.530    1.7   1.7   1.5  82.   80.   60.    0.5   0.3   0.15
     4.579    1.8   1.65  1.65 82.   74.   56.    0.5   0.3   0.15
     4.584    1.75  1.7   1.45 82.   78.   60.    0.5   0.3   0.15
     4.585    1.8   1.7   1.45 82.   78.   60.    0.5   0.3   0.15
     4.588    1.8   1.7   1.55 82.   78.   60.    0.5   0.3   0.15
     4.590    1.7   1.65  1.6  80.   74.   58.    0.5   0.3   0.15
     4.599    1.75  1.65  1.5  82.   76.   58.    0.5   0.3   0.15
     4.604    1.8   1.7   1.45 80.   76.   60.    0.5   0.3   0.15
     4.630    1.7   1.65  1.55 82.   76.   56.    0.5   0.3   0.15
     4.635    1.75  1.7   1.6  80.   74.   58.    0.5   0.3   0.15
     4.664    1.8   1.65  1.45 82.   76.   58.    0.5   0.3   0.15
     4.669    1.75  1.65  1.55 78.   76.   60.    0.5   0.3   0.15
     4.681    1.75  1.65  1.6  82.   80.   58.    0.5   0.3   0.15
     4.686    1.75  1.65  1.45 82.   76.   58.    0.5   0.3   0.15
     4.725    1.7   1.65  1.6  82.   74.   56.    0.5   0.3   0.15
     4.811    1.8   1.75  1.5  82.   78.   60.    0.5   0.3   0.15
     4.813    1.75  1.65  1.45 80.   74.   58.    0.5   0.3   0.15
     4.842    1.75  1.7   1.65 82.   78.   58.    0.5   0.3   0.15
     4.851    1.8   1.65  1.5  82.   76.   58.    0.5   0.3   0.15
     4.870    1.7   1.7   1.45 82.   78.   56.    0.5   0.3   0.15
     4.879    1.8   1.7   1.5  82.   74.   58.    0.5   0.3   0.15
     4.887    1.8   1.7   1.5  82.   78.   60.    0.5   0.3   0.15
     4.897    1.7   1.65  1.55 78.   76.   60.    0.5   0.3   0.15
     4.913    1.7   1.65  1.5  80.   78.   60.    0.5   0.3   0.15
     4.914    1.75  1.7   1.5  82.   76.   58.    0.5   0.3   0.15
     4.916    1.8   1.65  1.6  82.   78.   58.    0.5   0.3   0.15
     4.941    1.7   1.65  1.6  78.   74.   60.    0.5   0.3   0.15
     4.957    1.8   1.65  1.65 80.   76.   58.    0.5   0.3   0.15
     4.989    1.7   1.65  1.65 82.   76.   56.    0.5   0.3   0.15
     5.034    1.8   1.65  1.6  78.   74.   60.    0.5   0.3   0.15
     5.127    1.8   1.7   1.65 78.   74.   60.    0.5   0.3   0.15
     5.164    1.75  1.7   1.45 82.   78.   54.    0.5   0.3   0.15
     5.170    1.7   1.65  1.65 82.   74.   56.    0.5   0.3   0.15
     5.217    1.75  1.7   1.65 80.   80.   60.    0.5   0.3   0.15
     5.226    1.7   1.65  1.55 80.   78.   60.    0.5   0.3   0.15
     5.228    1.8   1.7   1.45 80.   74.   60.    0.5   0.3   0.15
     5.232    1.7   1.65  1.6  80.   76.   58.    0.5   0.3   0.15
     5.263    1.8   1.65  1.45 82.   78.   60.    0.5   0.3   0.15
     5.305    1.7   1.65  1.6  82.   78.   56.    0.5   0.3   0.15
     5.309    1.75  1.65  1.65 82.   80.   58.    0.5   0.3   0.15
     5.315    1.7   1.65  1.45 82.   76.   58.    0.5   0.3   0.15
     5.340    1.7   1.65  1.45 80.   76.   60.    0.5   0.3   0.15
     5.346    1.75  1.75  1.45 82.   78.   54.    0.5   0.3   0.15
     5.379    1.7   1.7   1.45 80.   78.   60.    0.5   0.3   0.15
     5.387    1.75  1.7   1.5  80.   76.   60.    0.5   0.3   0.15
     5.396    1.8   1.65  1.65 78.   78.   60.    0.5   0.3   0.15
     5.424    1.8   1.65  1.65 80.   74.   58.    0.5   0.3   0.15
     5.434    1.75  1.7   1.55 82.   80.   60.    0.5   0.3   0.15
     5.473    1.7   1.7   1.5  82.   78.   58.    0.5   0.3   0.15
     5.473    1.75  1.65  1.45 82.   80.   60.    0.5   0.3   0.15
     5.479    1.7   1.65  1.5  82.   76.   58.    0.5   0.3   0.15
     5.530    1.75  1.7   1.65 80.   76.   58.    0.5   0.3   0.15
     5.541    1.7   1.65  1.45 82.   80.   60.    0.5   0.3   0.15
     5.574    1.75  1.65  1.65 80.   74.   56.    0.5   0.3   0.15
     5.620    1.75  1.7   1.55 78.   74.   60.    0.5   0.3   0.15
     5.652    1.8   1.65  1.6  80.   74.   58.    0.5   0.3   0.15
     5.670    1.7   1.65  1.6  82.   80.   58.    0.5   0.3   0.15
     5.673    1.8   1.65  1.65 78.   76.   60.    0.5   0.3   0.15
     5.713    1.8   1.7   1.5  80.   76.   60.    0.5   0.3   0.15
     5.714    1.75  1.7   1.45 82.   80.   60.    0.5   0.3   0.15
     5.728    1.8   1.7   1.5  82.   76.   60.    0.5   0.3   0.15
     5.732    1.8   1.65  1.5  82.   80.   60.    0.5   0.3   0.15
     5.735    1.8   1.7   1.65 80.   78.   60.    0.5   0.3   0.15
     5.778    1.75  1.7   1.65 80.   76.   60.    0.5   0.3   0.15
     5.778    1.7   1.7   1.45 82.   80.   58.    0.5   0.3   0.15
     5.781    1.8   1.65  1.65 80.   78.   58.    0.5   0.3   0.15
     5.790    1.8   1.7   1.55 82.   74.   58.    0.5   0.3   0.15
     5.793    1.75  1.7   1.6  80.   76.   60.    0.5   0.3   0.15
     5.829    1.75  1.65  1.5  78.   74.   60.    0.5   0.3   0.15
     5.837    1.7   1.65  1.5  82.   78.   58.    0.5   0.3   0.15
     5.841    1.8   1.65  1.6  80.   80.   60.    0.5   0.3   0.15
     5.886    1.75  1.7   1.55 80.   76.   60.    0.5   0.3   0.15
     5.892    1.75  1.65  1.45 78.   74.   60.    0.5   0.3   0.15
     5.897    1.8   1.65  1.65 80.   80.   60.    0.5   0.3   0.15
     5.912    1.7   1.65  1.55 80.   80.   60.    0.5   0.3   0.15
     5.943    1.7   1.7   1.45 80.   80.   60.    0.5   0.3   0.15
     5.968    1.75  1.7   1.6  82.   78.   58.    0.5   0.3   0.15
     5.975    1.75  1.65  1.6  78.   74.   60.    0.5   0.3   0.15
     6.006    1.75  1.65  1.65 80.   74.   58.    0.5   0.3   0.15
     6.007    1.75  1.7   1.65 78.   76.   60.    0.5   0.3   0.15
     6.017    1.75  1.7   1.55 82.   76.   58.    0.5   0.3   0.15
     6.028    1.7   1.7   1.5  80.   78.   60.    0.5   0.3   0.15
     6.034    1.7   1.65  1.6  82.   74.   54.    0.5   0.3   0.15
     6.035    1.7   1.75  1.45 82.   78.   54.    0.5   0.3   0.15
     6.054    1.7   1.7   1.45 82.   80.   56.    0.5   0.3   0.15
     6.105    1.8   1.65  1.45 82.   74.   58.    0.5   0.3   0.15
     6.114    1.8   1.75  1.45 82.   78.   54.    0.5   0.3   0.15
     6.116    1.7   1.7   1.45 82.   76.   54.    0.5   0.3   0.15
     6.121    1.7   1.65  1.5  80.   78.   58.    0.5   0.3   0.15
     6.147    1.8   1.7   1.55 82.   80.   60.    0.5   0.3   0.15
     6.149    1.7   1.65  1.65 80.   74.   58.    0.5   0.3   0.15
     6.206    1.8   1.65  1.6  80.   76.   58.    0.5   0.3   0.15
     6.247    1.7   1.65  1.5  80.   76.   60.    0.5   0.3   0.15
     6.261    1.75  1.75  1.65 80.   74.   60.    0.5   0.3   0.15
     6.279    1.8   1.65  1.65 82.   78.   58.    0.5   0.3   0.15
     6.284    1.75  1.65  1.6  80.   74.   58.    0.5   0.3   0.15
     6.285    1.8   1.65  1.45 80.   76.   60.    0.5   0.3   0.15
     6.292    1.8   1.65  1.65 78.   74.   60.    0.5   0.3   0.15
     6.345    1.75  1.65  1.5  82.   80.   60.    0.5   0.3   0.15
     6.374    1.75  1.65  1.65 78.   74.   60.    0.5   0.3   0.15
     6.397    1.7   1.7   1.45 82.   78.   58.    0.5   0.3   0.15
     6.418    1.8   1.65  1.6  82.   80.   58.    0.5   0.3   0.15
     6.433    1.7   1.65  1.6  78.   76.   60.    0.5   0.3   0.15
     6.434    1.7   1.65  1.55 80.   78.   58.    0.5   0.3   0.15
     6.445    1.75  1.65  1.55 78.   74.   60.    0.5   0.3   0.15
     6.470    1.75  1.65  1.45 80.   76.   60.    0.5   0.3   0.15
     6.505    1.7   1.65  1.55 82.   78.   58.    0.5   0.3   0.15
     6.530    1.7   1.7   1.55 82.   78.   58.    0.5   0.3   0.15
     6.541    1.8   1.7   1.65 80.   74.   58.    0.5   0.3   0.15
     6.609    1.75  1.65  1.55 80.   78.   60.    0.5   0.3   0.15
     6.621    1.75  1.75  1.45 82.   80.   56.    0.5   0.3   0.15
     6.636    1.8   1.7   1.5  80.   74.   60.    0.5   0.3   0.15
     6.752    1.7   1.65  1.5  82.   78.   56.    0.5   0.3   0.15
     6.757    1.8   1.65  1.65 82.   80.   58.    0.5   0.3   0.15
     6.781    1.8   1.65  1.6  82.   74.   56.    0.5   0.3   0.15
     6.873    1.7   1.7   1.55 82.   80.   60.    0.5   0.3   0.15
     6.873    1.7   1.7   1.65 78.   74.   60.    0.5   0.3   0.15
     6.919    1.7   1.65  1.55 82.   76.   54.    0.5   0.3   0.15
     6.933    1.7   1.7   1.5  82.   78.   56.    0.5   0.3   0.15
     6.943    1.7   1.65  1.6  82.   78.   58.    0.5   0.3   0.15
     6.959    1.7   1.65  1.45 78.   76.   60.    0.5   0.3   0.15
     7.000    1.75  1.65  1.65 78.   74.   58.    0.5   0.3   0.15
     7.004    1.7   1.7   1.55 82.   80.   58.    0.5   0.3   0.15
     7.006    1.8   1.65  1.65 78.   80.   60.    0.5   0.3   0.15
     7.099    1.7   1.7   1.6  78.   74.   60.    0.5   0.3   0.15
     7.118    1.8   1.7   1.6  80.   80.   60.    0.5   0.3   0.15
     7.125    1.75  1.7   1.6  82.   80.   60.    0.5   0.3   0.15
     7.235    1.75  1.75  1.65 80.   76.   60.    0.5   0.3   0.15
     7.270    1.8   1.7   1.65 82.   80.   58.    0.5   0.3   0.15
     7.294    1.7   1.65  1.45 82.   76.   56.    0.5   0.3   0.15
     7.405    1.8   1.65  1.65 82.   76.   56.    0.5   0.3   0.15
     7.410    1.75  1.7   1.55 82.   78.   60.    0.5   0.3   0.15
     7.470    1.75  1.65  1.5  80.   76.   60.    0.5   0.3   0.15
     7.498    1.75  1.7   1.65 82.   74.   56.    0.5   0.3   0.15
     7.602    1.7   1.7   1.55 80.   78.   60.    0.5   0.3   0.15
     7.621    1.75  1.7   1.65 82.   80.   60.    0.5   0.3   0.15
     7.647    1.7   1.65  1.65 82.   78.   56.    0.5   0.3   0.15
     7.650    1.7   1.65  1.65 80.   76.   58.    0.5   0.3   0.15
     7.655    1.7   1.7   1.55 80.   76.   60.    0.5   0.3   0.15
     7.670    1.75  1.65  1.65 80.   80.   60.    0.5   0.3   0.15
     7.695    1.75  1.7   1.65 82.   76.   56.    0.5   0.3   0.15
     7.696    1.75  1.7   1.55 80.   74.   58.    0.5   0.3   0.15
     7.699    1.7   1.7   1.6  80.   76.   60.    0.5   0.3   0.15
     7.761    1.75  1.7   1.65 82.   76.   58.    0.5   0.3   0.15
     7.766    1.7   1.75  1.65 80.   74.   60.    0.5   0.3   0.15
     7.840    1.8   1.65  1.55 82.   76.   58.    0.5   0.3   0.15
     7.846    1.75  1.7   1.6  82.   76.   58.    0.5   0.3   0.15
     7.853    1.8   1.65  1.5  82.   74.   58.    0.5   0.3   0.15
     7.863    1.8   1.65  1.5  82.   78.   60.    0.5   0.3   0.15
     7.901    1.8   1.65  1.45 82.   80.   60.    0.5   0.3   0.15
     7.902    1.7   1.75  1.45 82.   80.   56.    0.5   0.3   0.15
     7.907    1.7   1.65  1.5  82.   80.   60.    0.5   0.3   0.15
     7.923    1.8   1.65  1.6  82.   76.   58.    0.5   0.3   0.15
     8.101    1.75  1.7   1.5  78.   74.   60.    0.5   0.3   0.15
     8.166    1.75  1.65  1.65 76.   74.   60.    0.5   0.3   0.15
     8.205    1.8   1.65  1.45 78.   74.   60.    0.5   0.3   0.15
     8.374    1.75  1.7   1.5  80.   74.   58.    0.5   0.3   0.15
     8.389    1.8   1.7   1.65 80.   76.   60.    0.5   0.3   0.15
     8.398    1.8   1.7   1.55 82.   76.   58.    0.5   0.3   0.15
     8.424    1.8   1.7   1.65 78.   78.   60.    0.5   0.3   0.15
     8.542    1.8   1.75  1.65 80.   78.   60.    0.5   0.3   0.15
     8.551    1.7   1.7   1.5  80.   76.   60.    0.5   0.3   0.15
     8.552    1.8   1.7   1.45 78.   74.   60.    0.5   0.3   0.15
     8.619    1.7   1.65  1.5  82.   76.   54.    0.5   0.3   0.15
     8.624    1.75  1.7   1.55 82.   80.   58.    0.5   0.3   0.15
     8.629    1.75  1.7   1.6  80.   76.   58.    0.5   0.3   0.15
     8.680    1.75  1.65  1.5  82.   74.   58.    0.5   0.3   0.15
     8.702    1.75  1.65  1.55 82.   80.   58.    0.5   0.3   0.15
     8.722    1.7   1.65  1.65 82.   74.   54.    0.5   0.3   0.15
     8.787    1.7   1.75  1.45 82.   80.   58.    0.5   0.3   0.15
     8.922    1.8   1.7   1.65 80.   76.   58.    0.5   0.3   0.15
     8.942    1.7   1.7   1.65 80.   74.   58.    0.5   0.3   0.15
     8.967    1.75  1.7   1.6  78.   76.   60.    0.5   0.3   0.15
     8.997    1.8   1.7   1.5  82.   80.   60.    0.5   0.3   0.15
     9.019    1.7   1.7   1.65 80.   76.   60.    0.5   0.3   0.15
     9.033    1.7   1.65  1.65 78.   74.   60.    0.5   0.3   0.15
     9.059    1.7   1.7   1.5  80.   80.   60.    0.5   0.3   0.15
     9.067    1.8   1.75  1.65 80.   76.   60.    0.5   0.3   0.15
     9.097    1.7   1.65  1.45 82.   74.   56.    0.5   0.3   0.15
     9.164    1.7   1.7   1.6  80.   78.   60.    0.5   0.3   0.15
     9.167    1.8   1.65  1.6  78.   78.   60.    0.5   0.3   0.15
     9.232    1.8   1.75  1.55 82.   78.   60.    0.5   0.3   0.15
     9.262    1.75  1.75  1.45 82.   80.   60.    0.5   0.3   0.15
     9.365    1.8   1.75  1.65 82.   80.   60.    0.5   0.3   0.15
     9.370    1.75  1.7   1.45 82.   76.   58.    0.5   0.3   0.15
     9.406    1.8   1.65  1.5  80.   78.   60.    0.5   0.3   0.15
     9.412    1.75  1.65  1.55 78.   78.   60.    0.5   0.3   0.15
     9.443    1.7   1.7   1.6  82.   78.   58.    0.5   0.3   0.15
     9.462    1.7   1.65  1.55 82.   74.   54.    0.5   0.3   0.15
     9.530    1.75  1.7   1.45 78.   74.   60.    0.5   0.3   0.15
     9.564    1.7   1.65  1.6  80.   78.   60.    0.5   0.3   0.15
     9.642    1.7   1.75  1.65 78.   74.   60.    0.5   0.3   0.15
     9.655    1.7   1.7   1.6  80.   74.   58.    0.5   0.3   0.15
     9.661    1.75  1.75  1.55 82.   80.   60.    0.5   0.3   0.15
     9.679    1.75  1.75  1.5  82.   80.   60.    0.5   0.3   0.15
     9.708    1.75  1.65  1.5  80.   78.   60.    0.5   0.3   0.15
     9.752    1.7   1.65  1.55 82.   76.   58.    0.5   0.3   0.15
     9.753    1.75  1.65  1.6  82.   78.   56.    0.5   0.3   0.15
     9.794    1.75  1.65  1.5  82.   78.   58.    0.5   0.3   0.15
     9.801    1.75  1.7   1.65 80.   78.   58.    0.5   0.3   0.15
     9.827    1.75  1.65  1.65 82.   78.   58.    0.5   0.3   0.15
     9.897    1.75  1.65  1.45 82.   78.   60.    0.5   0.3   0.15
     9.901    1.7   1.65  1.45 82.   78.   54.    0.5   0.3   0.15
     9.936    1.7   1.65  1.5  82.   76.   56.    0.5   0.3   0.15
     9.978    1.75  1.65  1.5  80.   80.   60.    0.5   0.3   0.15
    10.036    1.8   1.65  1.6  80.   78.   60.    0.5   0.3   0.15
    10.069    1.75  1.7   1.55 80.   74.   60.    0.5   0.3   0.15
    10.105    1.75  1.7   1.65 82.   78.   56.    0.5   0.3   0.15
    10.130    1.75  1.75  1.65 82.   80.   60.    0.5   0.3   0.15
    10.133    1.75  1.7   1.5  80.   78.   60.    0.5   0.3   0.15
    10.212    1.75  1.7   1.6  80.   74.   60.    0.5   0.3   0.15
    10.245    1.8   1.7   1.55 82.   76.   60.    0.5   0.3   0.15
    10.275    1.8   1.7   1.6  78.   74.   60.    0.5   0.3   0.15
    10.342    1.7   1.7   1.65 80.   74.   60.    0.5   0.3   0.15
    10.344    1.8   1.7   1.6  80.   78.   60.    0.5   0.3   0.15
    10.353    1.7   1.7   1.6  80.   74.   60.    0.5   0.3   0.15
    10.398    1.7   1.65  1.55 80.   76.   60.    0.5   0.3   0.15
    10.454    1.75  1.75  1.6  80.   74.   60.    0.5   0.3   0.15
    10.462    1.8   1.65  1.65 80.   80.   58.    0.5   0.3   0.15
    10.564    1.75  1.7   1.5  80.   74.   60.    0.5   0.3   0.15
    10.570    1.7   1.65  1.6  80.   78.   58.    0.5   0.3   0.15
    10.596    1.8   1.65  1.65 76.   74.   60.    0.5   0.3   0.15
    10.700    1.8   1.7   1.45 82.   76.   60.    0.5   0.3   0.15
    10.797    1.8   1.65  1.5  80.   76.   60.    0.5   0.3   0.15
    10.804    1.75  1.65  1.6  78.   74.   58.    0.5   0.3   0.15
    10.869    1.7   1.65  1.6  80.   74.   56.    0.5   0.3   0.15
    10.906    1.8   1.65  1.55 80.   80.   60.    0.5   0.3   0.15
    10.915    1.7   1.7   1.55 78.   74.   60.    0.5   0.3   0.15
    10.925    1.8   1.65  1.55 82.   80.   60.    0.5   0.3   0.15
    10.975    1.7   1.7   1.5  82.   78.   60.    0.5   0.3   0.15
    11.011    1.75  1.75  1.6  82.   80.   60.    0.5   0.3   0.15
    11.102    1.8   1.7   1.65 80.   78.   58.    0.5   0.3   0.15
    11.125    1.75  1.65  1.55 82.   74.   56.    0.5   0.3   0.15
    11.154    1.7   1.65  1.6  82.   76.   54.    0.5   0.3   0.15
    11.218    1.7   1.65  1.45 80.   76.   58.    0.5   0.3   0.15
    11.249    1.75  1.65  1.65 82.   74.   54.    0.5   0.3   0.15
    11.250    1.8   1.75  1.65 80.   74.   60.    0.5   0.3   0.15
    11.255    1.8   1.75  1.65 80.   80.   60.    0.5   0.3   0.15
    11.264    1.75  1.7   1.65 80.   74.   60.    0.5   0.3   0.15
    11.271    1.8   1.75  1.45 82.   78.   60.    0.5   0.3   0.15
    11.300    1.7   1.75  1.6  80.   74.   60.    0.5   0.3   0.15
    11.311    1.75  1.7   1.45 80.   74.   58.    0.5   0.3   0.15
    11.357    1.75  1.65  1.45 80.   78.   60.    0.5   0.3   0.15
    11.421    1.7   1.75  1.65 80.   76.   60.    0.5   0.3   0.15
    11.437    1.75  1.7   1.6  82.   74.   56.    0.5   0.3   0.15
    11.480    1.7   1.65  1.55 80.   74.   56.    0.5   0.3   0.15
    11.506    1.7   1.7   1.5  82.   76.   54.    0.5   0.3   0.15
    11.508    1.7   1.65  1.65 82.   80.   58.    0.5   0.3   0.15
    11.630    1.8   1.65  1.65 80.   78.   60.    0.5   0.3   0.15
    11.688    1.7   1.7   1.65 82.   78.   58.    0.5   0.3   0.15
    11.736    1.75  1.65  1.6  76.   74.   60.    0.5   0.3   0.15
    11.744    1.75  1.7   1.55 82.   74.   56.    0.5   0.3   0.15
    11.819    1.7   1.7   1.65 82.   76.   58.    0.5   0.3   0.15
    11.831    1.8   1.65  1.65 78.   74.   58.    0.5   0.3   0.15
    11.843    1.7   1.65  1.55 82.   80.   56.    0.5   0.3   0.15
    11.848    1.75  1.65  1.65 82.   80.   56.    0.5   0.3   0.15
    11.893    1.75  1.7   1.65 78.   78.   60.    0.5   0.3   0.15
    11.996    1.7   1.7   1.45 82.   78.   60.    0.5   0.3   0.15
    12.000    1.75  1.7   1.55 82.   74.   58.    0.5   0.3   0.15
    12.122    1.7   1.7   1.5  82.   80.   56.    0.5   0.3   0.15
    12.158    1.7   1.65  1.65 78.   76.   60.    0.5   0.3   0.15
    12.208    1.75  1.65  1.5  78.   76.   60.    0.5   0.3   0.15
    12.216    1.8   1.65  1.65 82.   76.   58.    0.5   0.3   0.15
    12.235    1.7   1.65  1.65 82.   78.   58.    0.5   0.3   0.15
    12.246    1.8   1.75  1.5  82.   76.   60.    0.5   0.3   0.15
    12.327    1.75  1.65  1.5  80.   74.   58.    0.5   0.3   0.15
    12.395    1.75  1.7   1.55 82.   78.   58.    0.5   0.3   0.15
    12.443    1.75  1.75  1.65 80.   78.   60.    0.5   0.3   0.15
    12.443    1.7   1.65  1.45 82.   80.   58.    0.5   0.3   0.15
    12.531    1.7   1.7   1.6  82.   76.   58.    0.5   0.3   0.15
    12.601    1.75  1.7   1.5  82.   76.   60.    0.5   0.3   0.15
    12.609    1.8   1.65  1.45 80.   74.   60.    0.5   0.3   0.15
    12.668    1.75  1.7   1.45 82.   78.   58.    0.5   0.3   0.15
    12.692    1.8   1.7   1.55 80.   76.   60.    0.5   0.3   0.15
    12.700    1.8   1.75  1.55 82.   76.   60.    0.5   0.3   0.15
    12.723    1.75  1.75  1.65 82.   78.   60.    0.5   0.3   0.15
    12.739    1.7   1.65  1.5  78.   78.   60.    0.5   0.3   0.15
    12.793    1.7   1.7   1.5  82.   76.   56.    0.5   0.3   0.15
    12.830    1.7   1.7   1.65 80.   78.   60.    0.5   0.3   0.15
    12.877    1.75  1.7   1.5  80.   80.   60.    0.5   0.3   0.15
    12.882    1.7   1.7   1.5  82.   78.   54.    0.5   0.3   0.15
    12.921    1.7   1.65  1.5  82.   80.   56.    0.5   0.3   0.15
    12.961    1.8   1.65  1.55 82.   78.   58.    0.5   0.3   0.15
    13.012    1.7   1.65  1.6  80.   80.   60.    0.5   0.3   0.15
    13.025    1.7   1.65  1.45 82.   78.   60.    0.5   0.3   0.15
    13.060    1.7   1.7   1.55 80.   74.   58.    0.5   0.3   0.15
    13.075    1.7   1.7   1.6  82.   80.   58.    0.5   0.3   0.15
    13.122    1.7   1.7   1.55 82.   76.   58.    0.5   0.3   0.15
    13.149    1.75  1.7   1.6  82.   78.   60.    0.5   0.3   0.15
    13.177    1.8   1.65  1.55 82.   74.   58.    0.5   0.3   0.15
    13.306    1.75  1.7   1.5  82.   78.   58.    0.5   0.3   0.15
    13.323    1.7   1.65  1.55 78.   78.   60.    0.5   0.3   0.15
    13.329    1.75  1.65  1.55 82.   80.   60.    0.5   0.3   0.15
    13.330    1.7   1.7   1.45 80.   76.   60.    0.5   0.3   0.15
    13.346    1.7   1.7   1.55 82.   78.   56.    0.5   0.3   0.15
    13.373    1.8   1.75  1.5  80.   76.   60.    0.5   0.3   0.15
    13.385    1.75  1.65  1.65 80.   80.   58.    0.5   0.3   0.15
    13.416    1.7   1.7   1.6  82.   80.   60.    0.5   0.3   0.15
    13.421    1.75  1.65  1.5  82.   78.   60.    0.5   0.3   0.15
    13.550    1.7   1.75  1.45 82.   80.   60.    0.5   0.3   0.15
    13.582    1.75  1.75  1.65 78.   74.   60.    0.5   0.3   0.15
    13.589    1.8   1.7   1.45 82.   76.   58.    0.5   0.3   0.15
    13.682    1.75  1.7   1.6  82.   74.   58.    0.5   0.3   0.15
    13.729    1.75  1.65  1.65 78.   80.   60.    0.5   0.3   0.15
    13.786    1.7   1.7   1.55 80.   80.   60.    0.5   0.3   0.15
    13.853    1.75  1.75  1.6  80.   76.   60.    0.5   0.3   0.15
    13.938    1.7   1.7   1.55 82.   76.   56.    0.5   0.3   0.15
    14.152    1.7   1.65  1.5  82.   74.   54.    0.5   0.3   0.15
    14.183    1.75  1.65  1.6  80.   74.   56.    0.5   0.3   0.15
    14.333    1.8   1.7   1.65 82.   74.   58.    0.5   0.3   0.15
    14.367    1.7   1.7   1.45 80.   78.   58.    0.5   0.3   0.15
    14.369    1.8   1.75  1.45 80.   76.   60.    0.5   0.3   0.15
