   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    19.831    1.62  1.55  1.42 81.   80.   55.    0.5   0.3   0.1 
    20.054    1.62   1.565  1.4   81.    80.    55.     0.5    0.3    0.175
    20.110    1.64  1.55  1.38 81.   80.   56.    0.5   0.3   0.1 
    20.160    1.66  1.58  1.4  81.   80.   57.    0.5   0.3   0.1 
    20.656    1.62  1.58  1.42 81.   80.   55.    0.5   0.3   0.2 
    20.818    1.62  1.55  1.38 81.   80.   57.    0.5   0.3   0.15
    20.868    1.62   1.55   1.42  81.    80.    55.     0.5    0.3    0.175
    21.720    1.62   1.58   1.42  81.    80.    58.     0.5    0.3    0.125
    21.730    1.62  1.55  1.4  81.   80.   58.    0.5   0.3   0.1 
    22.203    1.62   1.58   1.42  81.    80.    55.     0.5    0.3    0.175
    22.337    1.66  1.58  1.38 81.   80.   57.    0.5   0.3   0.1 
    22.359    1.64  1.58  1.38 81.   80.   57.    0.5   0.3   0.15
    22.409    1.64  1.58  1.38 81.   80.   58.    0.5   0.3   0.15
    22.496    1.62  1.55  1.42 81.   80.   57.    0.5   0.3   0.1 
    22.535    1.64   1.565  1.4   81.    80.    56.     0.5    0.3    0.15 
    22.565    1.62   1.565  1.4   81.    80.    56.     0.5    0.3    0.175
    22.602    1.64   1.55   1.42  81.    80.    56.     0.5    0.3    0.125
    22.658    1.62   1.565  1.38  81.    80.    55.     0.5    0.3    0.1  
    22.768    1.64   1.565  1.42  81.    80.    58.     0.5    0.3    0.15 
    23.046    1.62   1.58   1.42  81.    80.    57.     0.5    0.3    0.125
    23.112    1.62   1.58   1.4   81.    80.    55.     0.5    0.3    0.125
    23.577    1.62   1.58   1.4   81.    80.    55.     0.5    0.3    0.175
    23.708    1.62  1.58  1.38 81.   80.   57.    0.5   0.3   0.15
    23.759    1.64   1.55   1.38  81.    80.    55.     0.5    0.3    0.125
    23.999    1.62   1.565  1.4   81.    80.    58.     0.5    0.3    0.1  
