#T(K)  # Magnetic Field (Tesla), Moment (muB/mol),
10.0   7.83586	4.81286
10.0   7.96646	4.82027
10.0   8.09706	4.82698
10.0   8.22765	4.83383
10.0   8.35825	4.84008
10.0   8.48885	4.84658
10.0   8.61945	4.85282
10.0   8.75004	4.85903
10.0   8.88064	4.86485
10.0   9.01124	4.87027
10.0   9.14183	4.87714
10.0   9.27243	4.88104
10.0   9.40303	4.88625
10.0   9.53363	4.89145
10.0   9.66422	4.89641
10.0   9.79482	4.90146
10.0   9.92542	4.90602
10.0   10.05601	4.91094
10.0   10.18661	4.91588
10.0   10.31721	4.91989
10.0   10.44781	4.92452
10.0   10.5784	4.9291
10.0   10.709	4.9335
10.0   10.8396	4.93746
10.0   10.97019	4.94171
10.0   11.10079	4.94613
10.0   11.23139	4.94993
10.0   11.36199	4.95411
10.0   11.49258	4.95807
10.0   11.62318	4.96171
10.0   11.75378	4.9656
10.0   11.88438	4.96926
10.0   12.01497	4.97289
10.0   12.14557	4.97704
10.0   12.27617	4.9817
10.0   12.40676	4.98386
10.0   12.53736	4.98734
10.0   12.66796	4.99094
10.0   12.79856	4.99443
10.0   12.92915	4.9977
10.0   13.05975	5.00124
10.0   13.19035	5.00476
10.0   13.32094	5.00803
10.0   13.45154	5.01115
10.0   13.58214	5.01471
10.0   13.71274	5.01788
10.0   13.84333	5.02147
10.0   13.97393	5.0246
20.0   3.64449E-5	-0.00201
20.0   0.00142	-4.24412E-4
20.0   0.00571	0.00444
20.0   0.01283	0.01252
20.0   0.02287	0.02392
20.0   0.03571	0.03848
20.0   0.05144	0.0563
20.0   0.07004	0.07736
20.0   0.09145	0.1016
20.0   0.11576	0.12912
20.0   0.14289	0.15973
20.0   0.17288	0.19357
20.0   0.20574	0.23062
20.0   0.24143	0.27079
20.0   0.28003	0.31416
20.0   0.32144	0.36058
20.0   0.36569	0.41007
20.0   0.41287	0.4627
20.0   0.46281	0.51817
20.0   0.5157	0.57685
20.0   0.5714	0.63815
20.0   0.62997	0.70236
20.0   0.6914	0.76923
20.0   0.75566	0.83874
20.0   0.82282	0.91072
20.0   0.89281	0.98521
20.0   0.96564	1.06204
20.0   1.04135	1.14111
20.0   1.11992	1.22214
20.0   1.20132	1.30513
20.0   1.2856	1.38995
20.0   1.37273	1.47626
20.0   1.46272	1.564
20.0   1.55559	1.65281
20.0   1.6513	1.74249
20.0   1.74986	1.83324
20.0   1.85128	1.9244
20.0   1.95554	2.01621
20.0   2.0627	2.10786
20.0   2.17267	2.19951
20.0   2.28552	2.29094
20.0   2.40123	2.38245
20.0   2.51978	2.47279
20.0   2.64121	2.56219
20.0   2.76549	2.65037
20.0   2.89262	2.73728
20.0   3.02257	2.82277
20.0   3.15543	2.90693
20.0   3.29113	2.98929
20.0   3.4297	3.06954
