   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    40.461    1.7  1.6  1.5 78.  74.  60.   0.5  0.3  0.3
    40.550    1.7   1.55  1.6  82.   74.   60.    0.5   0.35  0.3 
    40.931    1.7   1.55  1.55 78.   74.   60.    0.5   0.35  0.2 
    41.331    1.8   1.6   1.5  78.   78.   60.    0.5   0.35  0.25
    41.450    1.7   1.6   1.55 82.   74.   60.    0.5   0.35  0.25
    41.705    1.8   1.55  1.5  78.   78.   60.    0.5   0.35  0.25
    41.775    1.75  1.55  1.5  78.   78.   60.    0.5   0.35  0.25
    41.842    1.75  1.55  1.5  82.   74.   60.    0.5   0.3   0.3 
    41.869    1.7   1.6   1.5  74.   74.   60.    0.5   0.35  0.25
    42.160    1.75  1.55  1.5  78.   78.   60.    0.5   0.3   0.25
    42.354    1.8   1.6   1.5  78.   82.   60.    0.5   0.35  0.2 
    42.380    1.75  1.55  1.55 78.   78.   60.    0.5   0.35  0.25
    42.672    1.7   1.65  1.5  74.   74.   60.    0.5   0.35  0.3 
    42.744    1.7   1.6   1.5  74.   74.   60.    0.5   0.3   0.25
    42.748    1.75  1.55  1.5  74.   82.   60.    0.5   0.35  0.2 
    42.784    1.8   1.55  1.5  74.   82.   60.    0.5   0.35  0.2 
    42.798    1.7   1.6   1.5  74.   82.   60.    0.5   0.35  0.3 
    43.279    1.7   1.55  1.6  74.   78.   60.    0.5   0.3   0.3 
    43.391    1.75  1.6   1.5  78.   82.   60.    0.5   0.35  0.2 
    43.493    1.8   1.55  1.6  82.   74.   60.    0.5   0.35  0.25
    43.628    1.8   1.55  1.5  82.   82.   60.    0.5   0.35  0.2 
    43.652    1.75  1.55  1.55 74.   78.   60.    0.5   0.35  0.25
    43.665    1.75  1.55  1.55 74.   82.   60.    0.5   0.35  0.25
    43.692    1.7   1.55  1.6  74.   74.   60.    0.5   0.3   0.3 
    43.781    1.75  1.55  1.5  78.   74.   60.    0.5   0.35  0.25
    43.803    1.8   1.55  1.5  74.   78.   60.    0.5   0.35  0.2 
    43.843    1.7   1.6   1.55 78.   74.   60.    0.5   0.35  0.25
    43.872    1.7   1.55  1.55 78.   74.   60.    0.5   0.3   0.3 
    44.117    1.8   1.55  1.55 82.   78.   60.    0.5   0.35  0.2 
    44.505    1.75  1.6   1.5  82.   78.   60.    0.5   0.35  0.25
    44.525    1.7   1.6   1.5  78.   82.   60.    0.5   0.35  0.2 
    44.682    1.8   1.55  1.55 82.   74.   60.    0.5   0.3   0.2 
    44.748    1.75  1.55  1.55 78.   74.   60.    0.5   0.3   0.2 
    44.812    1.8   1.55  1.55 74.   82.   60.    0.5   0.3   0.25
    44.899    1.7   1.55  1.5  74.   82.   60.    0.5   0.3   0.3 
    44.954    1.8   1.55  1.55 74.   78.   60.    0.5   0.3   0.25
    45.088    1.75  1.55  1.55 78.   74.   60.    0.5   0.35  0.3 
    45.345    1.7   1.55  1.55 74.   82.   60.    0.5   0.35  0.25
    45.365    1.75  1.55  1.6  82.   74.   60.    0.5   0.35  0.3 
    45.412    1.75  1.55  1.55 82.   78.   60.    0.5   0.35  0.25
    45.520    1.8   1.55  1.55 74.   78.   60.    0.5   0.35  0.25
    45.735    1.75  1.55  1.55 78.   74.   60.    0.5   0.3   0.3 
    45.764    1.7   1.6   1.5  82.   74.   60.    0.5   0.35  0.3 
    45.770    1.7   1.6   1.5  78.   74.   60.    0.5   0.3   0.25
    45.940    1.75  1.6   1.55 82.   74.   60.    0.5   0.35  0.25
    46.531    1.75  1.55  1.5  74.   78.   60.    0.5   0.35  0.2 
    46.570    1.75  1.55  1.5  78.   82.   60.    0.5   0.3   0.2 
    46.766    1.8   1.55  1.55 74.   82.   60.    0.5   0.35  0.25
    46.875    1.8   1.55  1.5  74.   78.   60.    0.5   0.35  0.25
    46.883    1.8   1.55  1.55 74.   74.   60.    0.5   0.35  0.25
    46.900    1.7   1.55  1.55 74.   74.   60.    0.5   0.3   0.2 
    47.046    1.7   1.55  1.5  82.   78.   60.    0.5   0.35  0.25
    47.080    1.7   1.6   1.5  74.   78.   60.    0.5   0.35  0.3 
    47.081    1.7   1.6   1.5  78.   74.   60.    0.5   0.35  0.3 
    47.267    1.7   1.55  1.6  78.   74.   60.    0.5   0.35  0.3 
    47.312    1.8   1.55  1.55 82.   74.   60.    0.5   0.3   0.25
    47.405    1.7   1.6   1.5  74.   78.   60.    0.5   0.3   0.25
    47.423    1.8   1.55  1.55 78.   74.   60.    0.5   0.3   0.25
    47.584    1.75  1.55  1.5  74.   74.   60.    0.5   0.3   0.3 
    47.681    1.7   1.55  1.55 82.   74.   60.    0.5   0.3   0.3 
    47.793    1.7   1.55  1.55 82.   74.   60.    0.5   0.35  0.3 
    47.960    1.8   1.6   1.5  82.   74.   60.    0.5   0.35  0.3 
    47.973    1.75  1.55  1.6  78.   74.   60.    0.5   0.35  0.3 
    48.041    1.7   1.6   1.5  74.   82.   60.    0.5   0.3   0.25
    48.049    1.7   1.6   1.5  82.   78.   60.    0.5   0.35  0.25
    48.074    1.8   1.55  1.5  74.   82.   60.    0.5   0.35  0.25
    48.302    1.7   1.55  1.55 74.   74.   60.    0.5   0.3   0.3 
    48.602    1.75  1.55  1.55 78.   78.   60.    0.5   0.35  0.2 
    48.690    1.7   1.6   1.55 74.   74.   60.    0.5   0.35  0.25
    48.738    1.7   1.6   1.55 74.   78.   60.    0.5   0.35  0.25
    49.037    1.8   1.55  1.55 78.   74.   60.    0.5   0.35  0.3 
    49.120    1.7   1.55  1.55 78.   78.   60.    0.5   0.35  0.2 
    49.309    1.8   1.55  1.5  82.   78.   60.    0.5   0.35  0.25
    49.550    1.7   1.6   1.5  82.   74.   60.    0.5   0.3   0.25
    49.897    1.8   1.55  1.55 82.   74.   60.    0.5   0.35  0.3 
    49.980    1.7   1.55  1.55 74.   78.   60.    0.5   0.35  0.25
    50.092    1.7   1.65  1.5  74.   82.   60.    0.5   0.3   0.3 
    50.120    1.7   1.55  1.5  74.   82.   60.    0.5   0.35  0.2 
    50.185    1.75  1.55  1.55 74.   74.   60.    0.5   0.35  0.25
    50.276    1.7   1.55  1.6  82.   74.   60.    0.5   0.35  0.2 
    50.339    1.8   1.55  1.5  82.   74.   60.    0.5   0.3   0.3 
    50.687    1.7   1.65  1.5  78.   74.   60.    0.5   0.35  0.3 
    50.826    1.7   1.55  1.6  74.   74.   60.    0.5   0.3   0.25
    50.960    1.7   1.6   1.55 74.   82.   60.    0.5   0.35  0.25
    51.366    1.8   1.55  1.5  78.   82.   60.    0.5   0.3   0.2 
    51.674    1.8   1.55  1.6  78.   74.   60.    0.5   0.35  0.25
    51.681    1.7   1.55  1.5  82.   74.   60.    0.5   0.3   0.3 
    52.001    1.8  1.6  1.5 74.  74.  60.   0.5  0.3  0.3
    52.334    1.7   1.55  1.5  82.   74.   60.    0.5   0.35  0.25
    52.370    1.75  1.55  1.6  74.   82.   60.    0.5   0.3   0.3 
    52.668    1.8   1.55  1.5  74.   74.   60.    0.5   0.35  0.2 
    52.780    1.7   1.55  1.55 74.   78.   60.    0.5   0.3   0.2 
    53.207    1.75  1.55  1.6  82.   74.   60.    0.5   0.35  0.2 
    53.211    1.75  1.55  1.55 74.   74.   60.    0.5   0.3   0.2 
    53.216    1.75  1.55  1.55 82.   74.   60.    0.5   0.3   0.3 
    53.680    1.75  1.65  1.5  74.   82.   60.    0.5   0.35  0.3 
    53.739    1.8   1.55  1.55 78.   78.   60.    0.5   0.35  0.2 
    54.430    1.75  1.6   1.55 78.   74.   60.    0.5   0.35  0.25
    54.662    1.75  1.6   1.5  78.   82.   60.    0.5   0.35  0.25
    55.028    1.75  1.65  1.5  74.   74.   60.    0.5   0.35  0.3 
    55.042    1.8   1.55  1.5  78.   78.   60.    0.5   0.3   0.25
    55.050    1.75  1.55  1.6  74.   74.   60.    0.5   0.3   0.3 
    55.112    1.7   1.55  1.55 78.   78.   60.    0.5   0.3   0.25
    55.274    1.75  1.6   1.5  78.   74.   60.    0.5   0.3   0.3 
    55.307    1.75  1.55  1.6  74.   74.   60.    0.5   0.35  0.3 
    55.319    1.7   1.55  1.6  74.   82.   60.    0.5   0.35  0.3 
    55.503    1.7   1.6   1.55 74.   82.   60.    0.5   0.35  0.3 
    55.533    1.8   1.55  1.55 74.   78.   60.    0.5   0.35  0.3 
    55.580    1.8   1.55  1.55 78.   74.   60.    0.5   0.3   0.2 
    55.937    1.7   1.55  1.5  74.   78.   60.    0.5   0.35  0.2 
    56.203    1.75  1.55  1.6  74.   82.   60.    0.5   0.35  0.3 
    56.241    1.7   1.6   1.5  78.   78.   60.    0.5   0.35  0.3 
    56.334    1.8   1.55  1.55 74.   74.   60.    0.5   0.35  0.3 
    56.465    1.75  1.6   1.5  74.   74.   60.    0.5   0.3   0.25
    56.574    1.75  1.65  1.5  74.   78.   60.    0.5   0.35  0.3 
    56.742    1.7   1.55  1.5  74.   78.   60.    0.5   0.3   0.3 
    56.759    1.7   1.55  1.6  82.   74.   60.    0.5   0.3   0.25
    56.925    1.8   1.55  1.6  74.   74.   60.    0.5   0.35  0.3 
    56.957    1.7   1.6   1.55 82.   74.   60.    0.5   0.35  0.2 
    57.044    1.8   1.6   1.5  82.   78.   60.    0.5   0.35  0.25
    57.189    1.7   1.55  1.5  82.   78.   60.    0.5   0.3   0.25
    57.248    1.7   1.6   1.5  78.   82.   60.    0.5   0.35  0.25
    57.314    1.75  1.55  1.5  78.   82.   60.    0.5   0.35  0.25
    57.358    1.7   1.55  1.5  78.   74.   60.    0.5   0.3   0.3 
    57.647    1.7   1.65  1.5  74.   78.   60.    0.5   0.3   0.3 
    58.013    1.7  1.6  1.5 82.  74.  60.   0.5  0.3  0.3
    58.198    1.75  1.6   1.55 74.   74.   60.    0.5   0.35  0.25
    58.211    1.7   1.55  1.6  78.   74.   60.    0.5   0.3   0.25
    58.267    1.75  1.55  1.6  74.   78.   60.    0.5   0.35  0.3 
    58.324    1.75  1.6   1.5  78.   78.   60.    0.5   0.35  0.3 
    58.597    1.7   1.55  1.5  78.   78.   60.    0.5   0.35  0.25
    58.659    1.75  1.55  1.6  74.   78.   60.    0.5   0.3   0.3 
    58.722    1.8   1.55  1.5  74.   74.   60.    0.5   0.35  0.25
    58.816    1.8   1.55  1.55 78.   78.   60.    0.5   0.35  0.25
    58.889    1.7   1.55  1.6  82.   78.   60.    0.5   0.35  0.25
    58.966    1.8   1.55  1.6  82.   74.   60.    0.5   0.35  0.2 
    59.322    1.75  1.55  1.5  74.   74.   60.    0.5   0.35  0.2 
    59.457    1.75  1.6   1.5  82.   82.   60.    0.5   0.35  0.2 
    59.590    1.8   1.55  1.55 74.   82.   60.    0.5   0.35  0.3 
    59.683    1.7  1.6  1.5 74.  74.  60.   0.5  0.3  0.2
    60.009    1.8   1.6   1.5  82.   82.   60.    0.5   0.35  0.2 
    60.024    1.75  1.55  1.55 74.   82.   60.    0.5   0.35  0.3 
    60.167    1.8  1.6  1.5 74.  78.  60.   0.5  0.3  0.3
    60.319    1.7   1.55  1.6  74.   78.   60.    0.5   0.3   0.25
    60.415    1.8   1.55  1.55 78.   74.   60.    0.5   0.3   0.3 
    60.484    1.7   1.55  1.6  74.   78.   60.    0.5   0.35  0.3 
    60.638    1.8   1.6   1.55 82.   74.   60.    0.5   0.35  0.25
    60.780    1.75  1.6   1.55 74.   78.   60.    0.5   0.35  0.25
    60.951    1.7   1.65  1.5  74.   74.   60.    0.5   0.3   0.3 
    61.218    1.7   1.65  1.5  74.   82.   60.    0.5   0.35  0.25
    61.245    1.75  1.6   1.55 74.   82.   60.    0.5   0.35  0.25
    61.287    1.8   1.55  1.55 82.   78.   60.    0.5   0.35  0.25
    61.432    1.7   1.55  1.55 74.   82.   60.    0.5   0.3   0.2 
    61.507    1.8   1.55  1.5  78.   82.   60.    0.5   0.35  0.25
    61.851    1.7   1.55  1.6  78.   74.   60.    0.5   0.3   0.3 
    61.979    1.75  1.55  1.6  74.   74.   60.    0.5   0.35  0.25
    62.320    1.75  1.55  1.55 74.   78.   60.    0.5   0.35  0.3 
    62.362    1.75  1.55  1.5  74.   82.   60.    0.5   0.35  0.25
    62.470    1.8   1.55  1.6  74.   82.   60.    0.5   0.35  0.3 
    62.607    1.8   1.6   1.55 78.   74.   60.    0.5   0.35  0.25
    62.629    1.8   1.55  1.6  74.   78.   60.    0.5   0.35  0.3 
    63.046    1.7  1.6  1.5 78.  74.  60.   0.5  0.3  0.2
    63.535    1.7   1.65  1.5  82.   74.   60.    0.5   0.35  0.3 
    63.756    1.7   1.65  1.5  74.   74.   60.    0.5   0.35  0.25
    64.019    1.7   1.6   1.55 74.   78.   60.    0.5   0.35  0.3 
    64.105    1.75  1.6   1.55 74.   82.   60.    0.5   0.35  0.3 
    64.226    1.8  1.6  1.5 74.  82.  60.   0.5  0.3  0.3
    64.252    1.7   1.65  1.5  74.   78.   60.    0.5   0.35  0.25
    64.382    1.75  1.55  1.5  82.   78.   60.    0.5   0.3   0.25
    64.651    1.8   1.55  1.6  74.   82.   60.    0.5   0.3   0.3 
    64.755    1.7   1.55  1.55 74.   74.   60.    0.5   0.35  0.25
    64.780    1.75  1.6   1.55 82.   74.   60.    0.5   0.35  0.2 
    64.851    1.8   1.55  1.6  74.   74.   60.    0.5   0.35  0.25
    65.207    1.75  1.55  1.5  82.   74.   60.    0.5   0.35  0.3 
    65.258    1.75  1.55  1.55 74.   78.   60.    0.5   0.3   0.2 
